"sessionCode","title","topic","format","level","Products","SpeakerNames","SpeakerCompanies","Description"
"THR3091","Gain Efficiencies in Security Response with ServiceNow and Azure Sentinel Integration powered by Microsoft Graph","Development","Session","Advanced (300)","","Mandana Javaheri
Deepak Kolingivadi
","Microsoft
ServiceNow
","gain efficiencies in security response with servicenow and azure sentinel integration powered by microsoft graph"
"MTG10","Get the most out of meetings with Microsoft Teams","Productivity","Session","Intermediate (200)","Microsoft 365	Meetings and Voice
Microsoft 365
","James Skay
Pauli Kongas
","Microsoft
KONE
","get the most out of meetings with microsoft teams"
"MTG50","Host large scale town halls, webinars, and meetings with up to 10,000 attendees with Microsoft Teams live events","Productivity","Session","Advanced (300)","Microsoft 365	Meetings and Voice
Microsoft 365
","Ashwin Appiah
Amit Rajput
","Microsoft
Microsoft
","host large scale town halls, webinars, and meetings with up to 10,000 attendees with microsoft teams live events"
"","Improving reliability through modern operations practices","Infrastructure","Session","Foundational (100)","","","","improving reliability through modern operations practices"
"BRK1117","Driving demand for digital process automation with Nintex and Microsoft, a GM Financial success story","Productivity","Partner Led Session","Foundational (100)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Advanced Analytics
Microsoft 365	Task Management
Microsoft 365	Information Protection
Microsoft 365	Advanced Compliance
Microsoft 365	Social and Intranet
Microsoft 365	Email and Calendar
Microsoft 365	Meetings and Voice
Microsoft 365	Operating System 
Microsoft 365	Device and Application Management
Microsoft 365	Files and Content
Microsoft 365	Applications
Microsoft 365	Identity and Access Management
Microsoft 365	Threat Protection
","William Knowles
Abby Martins
Jarrett Robinson
","NINTEX
GM Financial
GM Financial
","driving demand for digital process automation with nintex and microsoft, a gm financial success story"
"THR1097","Microsoft Teams for government workers","Productivity","Session","Foundational (100)","Microsoft 365	Information Protection
Microsoft 365
Microsoft 365	Meetings and Voice
","Sankalp Jain
Rima Reyes
","Microsoft
Microsoft
","microsoft teams for government workers"
"BRK1056","Breaking the mold: The tech career journey guide","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Phoummala Schmitt
","Microsoft
","breaking the mold: the tech career journey guide"
"BRK3207","Microsoft Power BI: Roadmap for enterprise information management – data lineage and impact analysis, data protection, and data discovery","Fundamentals","Session","Advanced (300)","Power Platform	Power BI
Power Platform
","Adi Regev
Anton Fritz
Alex Esibov
Denis Mizetski
","Microsoft
Microsoft
Microsoft
Microsoft
","microsoft power bi: roadmap for enterprise information management – data lineage and impact analysis, data protection, and data discovery"
"BRK3268","Common Data Model (CDM): All you need to know about CDM","Data","Session","Advanced (300)","Power Platform	Power BI
Power Platform
","Oleg Ovanesyan
Robert Bruckner
","Microsoft
Microsoft
","common data model (cdm): all you need to know about cdm"
"BRK1062","#DreamCrazier in the world of tech: In conversation with Nike","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Jarvis Sam
Dr. Mona-Lisa Pinkney
Nivine Zakhari
","Nike
Nike, Inc.
Microsoft
","#dreamcrazier in the world of tech: in conversation with nike"
